long_threshold,short_threshold,max_single_weight,top_n_long,target_annual_vol,objective,annualized_return,sharpe,max_drawdown,win_rate
0.05,0.06,0.3,3,0.3,-1.9128150598235727,-0.5864201586510059,-1.736889012228271,0.2389223572856528,0.45555555555555555
0.05,0.06,0.3,3,0.35,-1.8387965828436124,-0.59005874456336,-1.6617789594746044,0.24605505931267035,0.45555555555555555
0.05,0.06,0.3,4,0.25,-0.05267565837783685,-0.01528948472314584,-0.0480888129608931,0.13235712444652736,0.5
0.05,0.06,0.3,4,0.3,0.008952325842098144,0.0027972305695880273,0.008113156671221736,0.14448315637578713,0.5
0.05,0.06,0.3,4,0.35,-0.07093622169637971,-0.023203155471510195,-0.06397527505492666,0.15118363373575938,0.5
0.05,0.07,0.2,2,0.25,-0.8137689513224526,-0.1657332657058267,-0.7640489716107046,0.10455104025869888,0.5
0.05,0.07,0.2,2,0.3,-0.8267910688767282,-0.16856003763208538,-0.7762230575871025,0.10455104025869888,0.5
0.05,0.07,0.2,2,0.35,-0.8267910688767282,-0.16856003763208538,-0.7762230575871025,0.10455104025869888,0.5
0.05,0.07,0.2,3,0.25,-1.5172157129633408,-0.36642636447454535,-1.4072878036209773,0.14738658796684212,0.4666666666666667
0.05,0.07,0.2,3,0.3,-1.5788267046684512,-0.3896645067862682,-1.4619273526325707,0.15040463546483607,0.4666666666666667
0.05,0.07,0.2,3,0.35,-1.5795504664084832,-0.3898590224315507,-1.462592759679018,0.15040463546483607,0.4666666666666667
0.05,0.07,0.2,4,0.25,0.828631561082351,0.20784465383831252,0.7662781649308573,0.0815356436445912,0.5333333333333333
0.05,0.07,0.2,4,0.3,0.7733660817740005,0.20305673134923463,0.7124490623692301,0.08060711490071337,0.5333333333333333
0.05,0.07,0.2,4,0.35,0.7459016723714922,0.1978400386499033,0.6865496607765212,0.08220724213985131,0.5333333333333333
0.05,0.07,0.25,2,0.25,-0.8240671854509892,-0.20037462679953288,-0.7639547974111294,0.12713836430804737,0.5
0.05,0.07,0.25,2,0.3,-0.8036828944160316,-0.19945729031102666,-0.7438457073227236,0.12881235820289139,0.5
0.05,0.07,0.25,2,0.35,-0.8230865898764143,-0.20456458266951927,-0.7617172150755585,0.12881235820289105,0.5
0.05,0.07,0.25,3,0.25,-1.514132184821151,-0.4105463346231304,-1.390968284434212,0.16758750288920432,0.4777777777777778
